key,Bulk_id,symbol,Surface,in_domain,Bulk_concentration,surface_concentration,Crystal System,Point Group,EqV2_predicted_H_ads_E,single_point_DFT_H_ads_E
mp-810_H_2_211,mp-810,Ni2Sb2,211,False,"{'Ni': 50.0, 'Sb': 50.0}","{'Ni': 33.33333333333333, 'Sb': 66.66666666666666}",Hexagonal,P63mmc,-0.19384765625,-0.20500821
mp-2845_H_0_211,mp-2845,Sb2Pt2,211,False,"{'Pt': 50.0, 'Sb': 50.0}","{'Pt': 40.0, 'Sb': 60.0}",Hexagonal,P63mmc,-0.208984375,-0.46207969
mp-581786_H_0_211,mp-581786,Cu6Sn2,211,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 69.23076923076923, 'Sn': 30.76923076923077}",Orthorhombic,Pmmn,-0.11474609375,-0.09255427
mp-13138_H_0_211,mp-13138,Cu6Sn2,211,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 69.23076923076923, 'Sn': 30.76923076923077}",Hexagonal,P63mmc,-0.2099609375,-0.18656523
mp-1221744_H_0_211,mp-1221744,Mn7Sb4,211,False,"{'Mn': 63.63636363636363, 'Sb': 36.36363636363637}","{'Mn': 58.82352941176471, 'Sb': 41.17647058823529}",Hexagonal,P6m2,-0.367431640625,-0.66629239
mp-13138_H_1_211,mp-13138,Cu6Sn2,211,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 71.42857142857143, 'Sn': 28.57142857142857}",Hexagonal,P63mmc,-0.21435546875,-0.19784208
mp-581786_H_1_211,mp-581786,Cu6Sn2,211,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 71.42857142857143, 'Sn': 28.57142857142857}",Orthorhombic,Pmmn,-0.123046875,-0.09829517
mp-581786_H_6_211,mp-581786,Cu6Sn2,211,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 75.0, 'Sn': 25.0}",Orthorhombic,Pmmn,-0.142578125,-0.09755003
mp-2845_H_1_211,mp-2845,Sb2Pt2,211,False,"{'Pt': 50.0, 'Sb': 50.0}","{'Pt': 30.0, 'Sb': 70.0}",Hexagonal,P63mmc,-0.285400390625,-0.2180178
mp-1072181_H_1_221,mp-1072181,Fe2Sb4,221,False,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}","{'Fe': 26.666666666666668, 'Sb': 73.33333333333333}",Tetragonal,I4mcm,-0.21435546875,-0.25177728
mp-1187108_H_1_221,mp-1187108,Sn6Ru2,221,False,"{'Ru': 25.0, 'Sn': 75.0}","{'Ru': 25.0, 'Sn': 75.0}",Hexagonal,P63mmc,-0.23681640625,-0.03897935
mp-1072181_H_0_221,mp-1072181,Fe2Sb4,221,False,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}","{'Fe': 28.57142857142857, 'Sb': 71.42857142857143}",Tetragonal,I4mcm,-0.20068359375,-0.27172777
mp-22752_H_2_221,mp-22752,Fe2Sn4,221,False,"{'Fe': 33.33333333333333, 'Sn': 66.66666666666666}","{'Fe': 40.0, 'Sn': 60.0}",Tetragonal,I4mcm,-0.38720703125,-0.36854979
mp-20714_H_1_221,mp-20714,Fe2Sb4,221,False,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}","{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",Orthorhombic,Pnnm,-0.362060546875,-0.37241519
mp-973354_H_0_221,mp-973354,SbPt3,221,False,"{'Pt': 75.0, 'Sb': 25.0}","{'Pt': 75.0, 'Sb': 25.0}",Tetragonal,I4mmm,-0.282470703125,0.2769677
mp-1225226_H_2_221,mp-1225226,,221,False,"{'Fe': 80.0, 'Mo': 20.0}","{'Fe': 82.6086956521739, 'Mo': 17.391304347826086}",,,-0.11474609375,-0.60226493
mp-20155_H_2_221,mp-20155,Co2Sn4,221,False,"{'Co': 33.33333333333333, 'Sn': 66.66666666666666}","{'Co': 23.076923076923077, 'Sn': 76.92307692307693}",Tetragonal,I4mcm,-0.24951171875,-0.23188986
mp-1225226_H_3_221,mp-1225226,,221,False,"{'Fe': 80.0, 'Mo': 20.0}","{'Fe': 78.26086956521739, 'Mo': 21.73913043478261}",,,-0.29296875,-0.7726536
mp-810_H_0_221,mp-810,Ni2Sb2,221,False,"{'Ni': 50.0, 'Sb': 50.0}","{'Ni': 38.46153846153847, 'Sb': 61.53846153846154}",Hexagonal,P63mmc,-0.2294921875,-0.20842743
mp-838_H_1_221,mp-838,Cu3Sn,221,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 80.0, 'Sn': 20.0}",Cubic,Fm3m,-0.298095703125,-0.23124719
mp-810_H_1_221,mp-810,Ni2Sb2,221,False,"{'Ni': 50.0, 'Sb': 50.0}","{'Ni': 33.33333333333333, 'Sb': 66.66666666666666}",Hexagonal,P63mmc,-0.20166015625,-0.20083793
mp-11552_H_0_221,mp-11552,TiPt,221,False,"{'Pt': 50.0, 'Ti': 50.0}","{'Pt': 60.0, 'Ti': 40.0}",Cubic,Pm3m,-0.389892578125,-0.43739194
mp-581786_H_3_221,mp-581786,Cu6Sn2,221,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 77.77777777777779, 'Sn': 22.22222222222222}",Orthorhombic,Pmmn,-0.19140625,-0.20460772
mp-1006883_H_0_221,mp-1006883,CoNi,221,False,"{'Co': 50.0, 'Ni': 50.0}","{'Co': 60.0, 'Ni': 40.0}",Cubic,Pm3m,-0.38330078125,-0.48218108
mp-581786_H_5_221,mp-581786,Cu6Sn2,221,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 78.94736842105263, 'Sn': 21.052631578947366}",Orthorhombic,Pmmn,-0.2490234375,-0.21926793
mp-581786_H_2_221,mp-581786,Cu6Sn2,221,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 75.0, 'Sn': 25.0}",Orthorhombic,Pmmn,-0.23046875,-0.1859652
mp-11552_H_1_221,mp-11552,TiPt,221,False,"{'Pt': 50.0, 'Ti': 50.0}","{'Pt': 40.0, 'Ti': 60.0}",Cubic,Pm3m,-0.381103515625,-0.302887
mp-1184260_H_1_221,mp-1184260,Fe3Cu,221,False,"{'Cu': 25.0, 'Fe': 75.0}","{'Cu': 20.0, 'Fe': 80.0}",Cubic,Fm3m,-0.16357421875,-0.58965225
mp-1207123_H_1_221,mp-1207123,Nb2Sb2,221,False,"{'Nb': 50.0, 'Sb': 50.0}","{'Nb': 50.0, 'Sb': 50.0}",Hexagonal,P63mmc,-0.12353515625,-0.17230798
mp-22752_H_0_221,mp-22752,Fe2Sn4,221,False,"{'Fe': 33.33333333333333, 'Sn': 66.66666666666666}","{'Fe': 28.57142857142857, 'Sn': 71.42857142857143}",Tetragonal,I4mcm,-0.2314453125,-0.2481919
mp-20714_H_3_221,mp-20714,Fe2Sb4,221,False,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}","{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",Orthorhombic,Pnnm,-0.2705078125,-0.25903686
mp-19856_H_1_221,mp-19856,Sn2Pt2,221,False,"{'Pt': 50.0, 'Sn': 50.0}","{'Pt': 33.33333333333333, 'Sn': 66.66666666666666}",Hexagonal,P63mmc,-0.13671875,-0.13414154
mp-20714_H_2_221,mp-20714,Fe2Sb4,221,False,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}","{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",Orthorhombic,Pnnm,-0.16357421875,-0.12127957
mp-22752_H_1_221,mp-22752,Fe2Sn4,221,False,"{'Fe': 33.33333333333333, 'Sn': 66.66666666666666}","{'Fe': 26.666666666666668, 'Sn': 73.33333333333333}",Tetragonal,I4mcm,-0.271240234375,-0.36636828
mp-19856_H_0_221,mp-19856,Sn2Pt2,221,False,"{'Pt': 50.0, 'Sn': 50.0}","{'Pt': 38.46153846153847, 'Sn': 61.53846153846154}",Hexagonal,P63mmc,-0.322021484375,-0.24380349
mp-20155_H_1_221,mp-20155,Co2Sn4,221,False,"{'Co': 33.33333333333333, 'Sn': 66.66666666666666}","{'Co': 16.666666666666664, 'Sn': 83.33333333333334}",Tetragonal,I4mcm,-0.13671875,-0.08538884
mp-1217161_H_3_221,mp-1217161,Ti4Fe,221,False,"{'Fe': 20.0, 'Ti': 80.0}","{'Fe': 25.0, 'Ti': 75.0}",Orthorhombic,Fmmm,-0.331787109375,7.31321943
mp-1009206_H_1_221,mp-1009206,MnSn,221,False,"{'Mn': 50.0, 'Sn': 50.0}","{'Mn': 40.0, 'Sn': 60.0}",Cubic,Pm3m,-0.277587890625,-0.24086342
mp-20155_H_0_221,mp-20155,Co2Sn4,221,False,"{'Co': 33.33333333333333, 'Sn': 66.66666666666666}","{'Co': 17.391304347826086, 'Sn': 82.6086956521739}",Tetragonal,I4mcm,-0.12890625,-0.14195085
mp-1009207_H_1_221,mp-1009207,MnSb,221,False,"{'Mn': 50.0, 'Sb': 50.0}","{'Mn': 40.0, 'Sb': 60.0}",Cubic,Pm3m,-0.18505859375,-0.18518717
mp-649_H_0_221,mp-649,FePt3,221,False,"{'Fe': 25.0, 'Pt': 75.0}","{'Fe': 25.0, 'Pt': 75.0}",Cubic,Pm3m,-0.3427734375,-0.3344136
mp-20086_H_1_221,mp-20086,Mn2Sn4,221,False,"{'Mn': 33.33333333333333, 'Sn': 66.66666666666666}","{'Mn': 26.666666666666668, 'Sn': 73.33333333333333}",Tetragonal,I4mcm,-0.21484375,-0.14087315
mp-1217110_H_3_221,mp-1217110,Ti4Ru,221,False,"{'Ru': 20.0, 'Ti': 80.0}","{'Ru': 27.27272727272727, 'Ti': 72.72727272727273}",Orthorhombic,Fmmm,-0.26318359375,2.94732925
mp-13100_H_0_221,mp-13100,MoPt3,221,False,"{'Mo': 25.0, 'Pt': 75.0}","{'Mo': 25.0, 'Pt': 75.0}",Cubic,Pm3m,-0.292236328125,-0.29848457
mp-20086_H_0_221,mp-20086,Mn2Sn4,221,False,"{'Mn': 33.33333333333333, 'Sn': 66.66666666666666}","{'Mn': 28.57142857142857, 'Sn': 71.42857142857143}",Tetragonal,I4mcm,-0.2060546875,-0.13647218
mp-2845_H_0_221,mp-2845,Sb2Pt2,221,False,"{'Pt': 50.0, 'Sb': 50.0}","{'Pt': 38.46153846153847, 'Sb': 61.53846153846154}",Hexagonal,P63mmc,-0.13623046875,-0.11165948
mp-1221433_H_1_221,mp-1221433,MoPt,221,False,"{'Mo': 50.0, 'Pt': 50.0}","{'Mo': 50.0, 'Pt': 50.0}",Hexagonal,P6m2,-0.365234375,-0.44979513
mp-581786_H_0_221,mp-581786,Cu6Sn2,221,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 78.94736842105263, 'Sn': 21.052631578947366}",Orthorhombic,Pmmn,-0.2548828125,-0.22011395
mp-13138_H_0_221,mp-13138,Cu6Sn2,221,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 70.58823529411765, 'Sn': 29.411764705882355}",Hexagonal,P63mmc,-0.26025390625,-0.27076063
mp-581786_H_1_221,mp-581786,Cu6Sn2,221,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 73.68421052631578, 'Sn': 26.31578947368421}",Orthorhombic,Pmmn,-0.154296875,-0.12338377
