key,Bulk_id,symbol,Surface,in_domain,Bulk_concentration,surface_concentration,Crystal System,Point Group,EqV2_predicted_H_ads_E,single_point_DFT_H_ads_E
mp-30788_H_0_110,mp-30788,Sn2Mo6,110,False,"{'Mo': 75.0, 'Sn': 25.0}","{'Mo': 66.66666666666666, 'Sn': 33.33333333333333}",Cubic,Pm3n,-0.16552734375,-0.09944401
mp-1187108_H_2_110,mp-1187108,Sn6Ru2,110,False,"{'Ru': 25.0, 'Sn': 75.0}","{'Ru': 25.0, 'Sn': 75.0}",Hexagonal,P63mmc,-0.15771484375,-1.42342135
mp-20971_H_0_110,mp-20971,SnPt3,110,False,"{'Pt': 75.0, 'Sn': 25.0}","{'Pt': 75.0, 'Sn': 25.0}",Cubic,Pm3m,-0.1953125,-0.12004152
mp-1207123_H_0_110,mp-1207123,Nb2Sb2,110,False,"{'Nb': 50.0, 'Sb': 50.0}","{'Nb': 50.0, 'Sb': 50.0}",Hexagonal,P63mmc,-0.10546875,-0.10163034
mp-19856_H_0_110,mp-19856,Sn2Pt2,110,False,"{'Pt': 50.0, 'Sn': 50.0}","{'Pt': 33.33333333333333, 'Sn': 66.66666666666666}",Hexagonal,P63mmc,-0.1748046875,-0.24074441
mp-1184336_H_1_110,mp-1184336,FeIr3,110,False,"{'Fe': 25.0, 'Ir': 75.0}","{'Fe': 25.0, 'Ir': 75.0}",Tetragonal,I4mmm,-0.376953125,-0.33230014
mp-1184054_H_1_110,mp-1184054,CuNi3,110,False,"{'Cu': 25.0, 'Ni': 75.0}","{'Cu': 25.0, 'Ni': 75.0}",Tetragonal,I4mmm,-0.338134765625,-0.33775918
mp-649_H_0_110,mp-649,FePt3,110,False,"{'Fe': 25.0, 'Pt': 75.0}","{'Fe': 25.0, 'Pt': 75.0}",Cubic,Pm3m,-0.31103515625,-0.28590469
mp-1225687_H_0_110,mp-1225687,CuNi,110,False,"{'Cu': 50.0, 'Ni': 50.0}","{'Cu': 50.0, 'Ni': 50.0}",Trigonal,R3m,-0.394287109375,-0.39960551
mp-13100_H_0_110,mp-13100,MoPt3,110,False,"{'Mo': 25.0, 'Pt': 75.0}","{'Mo': 25.0, 'Pt': 75.0}",Cubic,Pm3m,-0.349853515625,-0.39000184
