Unnamed: 0,Slab_Facet_info,bulk_id,in_domain,Ametal,Bmetal,AandB,symbol,Crystal System,Point Group,Bulk_concentration,experimentally_observed,Surface,Surface concentration,Ads. site,nearest_symbols,Eads (eV),Surf. E. (J/m²),Cost ($/kg),distance_from_optimal,activity_score,stability_score,cost_score,asci_score,ASCI Rank
14,Cu6Sn2_210_T_0.063,mp-13138,False,Cu,Sn,Cu-Sn,Cu6Sn2,Hexagonal,P63mmc,"{'Cu': 75.0, 'Sn': 25.0}",True,210,"{'Cu': 76.92307692307693, 'Sn': 23.076923076923077}",bridge,"['Cu', 'Cu']",-0.28916604,0.9214502218350684,15.4369325,0.0191660399999999,0.8722264,0.7631931402733267,0.834436380594267,0.8233968176922486,15
15,Cu6Sn2_210_T_0.000,mp-13138,False,Cu,Sn,Cu-Sn,Cu6Sn2,Hexagonal,P63mmc,"{'Cu': 75.0, 'Sn': 25.0}",True,210,"{'Cu': 75.0, 'Sn': 25.0}",bridge,"['Cu', 'Cu']",-0.24530253,0.8279590621785623,15.4369325,0.02469747,0.8353501999999998,0.7978311266962986,0.834436380594267,0.8226582072118294,16
16,Cu6Sb2_221_T_0.062,mp-20900,True,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sb': 25.0}",True,221,"{'Cu': 75.0, 'Sb': 25.0}",3-fold,"['Cu', 'Cu', 'Cu']",-0.30230174,0.7064509575920248,15.0918025,0.0323017399999999,0.7846550666666668,0.8428492449056884,0.836568574024049,0.821509737987054,17
17,Cu3Sb_210_B_0.083,mp-1183969,True,Cu,Sb,Cu-Sb,Cu3Sb,Cubic,Pm3m,"{'Cu': 75.0, 'Sb': 25.0}",False,210,"{'Cu': 83.33333333333334, 'Sb': 16.666666666666664}",bridge,"['Cu', 'Cu']",-0.30026883,0.7590966781710543,15.0918025,0.0302688299999999,0.7982078000000001,0.8233442803577693,0.836568574024049,0.8195455016862406,18
18,Ni2Sb2_211_T_0.069,mp-810,False,Ni,Sb,Ni-Sb,Ni2Sb2,Hexagonal,P63mmc,"{'Ni': 50.0, 'Sb': 50.0}",True,211,"{'Ni': 40.0, 'Sb': 60.0}",bridge,"['Ni', 'Ni']",-0.25274093,0.8916559651881585,22.50325,0.01725907,0.8849395333333331,0.7742317567693666,0.7988956169806442,0.8191510355073099,19
19,Cu2Sn2_100_T_0.167,mp-10598,True,Cu,Sn,Cu-Sn,Cu2Sn2,Hexagonal,P63mmc,"{'Cu': 50.0, 'Sn': 50.0}",True,100,"{'Cu': 50.0, 'Sn': 50.0}",bridge,"['Cu', 'Cu']",-0.29390235,0.8171087527690792,20.505305,0.0239023499999999,0.8406510000000003,0.8018511096699996,0.8076631128972036,0.8166311545761493,20
20,Ni2Sb2_111_B_0.062,mp-810,False,Ni,Sb,Ni-Sb,Ni2Sb2,Hexagonal,P63mmc,"{'Ni': 50.0, 'Sb': 50.0}",True,111,"{'Ni': 33.33333333333333, 'Sb': 66.66666666666666}",bridge,"['Ni', 'Ni']",-0.25123753,0.974519201520344,22.50325,0.01876247,0.8749168666666665,0.7435313604368882,0.7988956169806442,0.8057124247175921,21
21,Co2Sb4_211_T_0.149,mp-9835,True,Co,Sb,Co-Sb,Co2Sb4,Orthorhombic,Pnnm,"{'Co': 33.33333333333333, 'Sb': 66.66666666666666}",True,211,"{'Co': 33.33333333333333, 'Sb': 66.66666666666666}",top,['Co'],-0.25523544,0.9706553355564262,30.74097333333332,0.01476456,0.9015695999999996,0.7449629025986293,0.7694804976404697,0.8049790950553073,22
22,Cu6Sb2_111_B_0.050,mp-20900,True,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sb': 25.0}",True,111,"{'Cu': 75.0, 'Sb': 25.0}",bridge,"['Cu', 'Cu']",-0.22956366,0.6998114138207773,15.0918025,0.04043634,0.7304243999999999,0.845309161199894,0.836568574024049,0.8044253903641417,23
23,Cu3Sn_221_B_0.025,mp-838,False,Cu,Sn,Cu-Sn,Cu3Sn,Cubic,Fm3m,"{'Cu': 75.0, 'Sn': 25.0}",True,221,"{'Cu': 80.0, 'Sn': 20.0}",bridge,"['Cu', 'Cu']",-0.23421402,0.779560279350559,15.4369325,0.03578598,0.7614267999999998,0.8157626229858311,0.834436380594267,0.804180878987375,24
