Unnamed: 0,Slab_Facet_info,bulk_id,in_domain,Ametal,Bmetal,AandB,symbol,Crystal System,Point Group,Bulk_concentration,experimentally_observed,Surface,Surface concentration,Ads. site,nearest_symbols,Eads (eV),Surf. E. (J/m²),Cost ($/kg),distance_from_optimal,activity_score,stability_score,cost_score,asci_score,ASCI Rank
60,Cu3Sn_100_T_0.125,mp-838,False,Cu,Sn,Cu-Sn,Cu3Sn,Cubic,Fm3m,"{'Cu': 75.0, 'Sn': 25.0}",True,100,"{'Cu': 75.0, 'Sn': 25.0}",bridge,"['Cu', 'Cu']",-0.20635316,0.8615917677481899,15.4369325,0.06364684,0.5756877333333332,0.7853703849195492,0.834436380594267,0.732857548425502,61
61,Ni2Sb2_221_T_0.031,mp-810,False,Ni,Sb,Ni-Sb,Ni2Sb2,Hexagonal,P63mmc,"{'Ni': 50.0, 'Sb': 50.0}",True,221,"{'Ni': 38.46153846153847, 'Sb': 61.53846153846154}",bridge,"['Ni', 'Ni']",-0.21281032,0.8822441975982408,22.50325,0.05718968,0.6187354666666665,0.7777187675112752,0.7988956169806442,0.7324544070521397,62
62,Fe2Sb4_210_B_0.050,mp-20714,False,Fe,Sb,Fe-Sb,Fe2Sb4,Orthorhombic,Pnnm,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",True,210,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",top,['Fe'],-0.21670568,0.9976161880238598,19.54103666666666,0.05329432,0.6447045333333332,0.7349740475544752,0.812205176446521,0.731443691684794,63
63,Co2Sb4_210_T_0.050,mp-9835,True,Co,Sb,Co-Sb,Co2Sb4,Orthorhombic,Pnnm,"{'Co': 33.33333333333333, 'Sb': 66.66666666666666}",True,210,"{'Co': 33.33333333333333, 'Sb': 66.66666666666666}",top,['Co'],-0.22258749,0.9951376413972112,30.74097333333332,0.04741251,0.6839165999999999,0.7358923361361762,0.7694804976404697,0.7301603181226979,64
64,Co2Sb4_221_T_0.030,mp-9835,True,Co,Sb,Co-Sb,Co2Sb4,Orthorhombic,Pnnm,"{'Co': 33.33333333333333, 'Sb': 66.66666666666666}",True,221,"{'Co': 33.33333333333333, 'Sb': 66.66666666666666}",top,['Co'],-0.32635401,0.8418700093832959,30.74097333333332,0.05635401,0.6243065999999999,0.7926771934027274,0.7694804976404697,0.7292280210206596,65
65,Cu6Sb2_221_T_0.187,mp-20900,True,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sb': 25.0}",True,221,"{'Cu': 71.42857142857143, 'Sb': 28.57142857142857}",3-fold,"['Cu', 'Cu', 'Cu']",-0.34494688,0.7024080584066102,15.0918025,0.07494688,0.5003541333333333,0.8443471179410464,0.836568574024049,0.728184728088722,66
66,Cu6Sb2_221_T_0.029,mp-20900,True,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sb': 25.0}",True,221,"{'Cu': 83.33333333333334, 'Sb': 16.666666666666664}",bridge,"['Cu', 'Cu']",-0.34363293,0.7339192946164582,15.0918025,0.0736329299999999,0.5091138000000001,0.832672369483353,0.836568574024049,0.7272227510976832,67
67,Cu6Sn2_211_T_0.008,mp-13138,False,Cu,Sn,Cu-Sn,Cu6Sn2,Hexagonal,P63mmc,"{'Cu': 75.0, 'Sn': 25.0}",True,211,"{'Cu': 69.23076923076923, 'Sn': 30.76923076923077}",bridge,"['Cu', 'Cu']",-0.20387758,0.8831802506571611,15.4369325,0.06612242,0.5591838666666665,0.7773719647412038,0.834436380594267,0.724771793766648,68
68,Cu6Sb2_211_T_0.157,mp-20900,True,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sb': 25.0}",True,211,"{'Cu': 72.72727272727273, 'Sb': 27.27272727272727}",3-fold,"['Cu', 'Cu', 'Cu']",-0.19333554,0.7388449160422998,15.0918025,0.07666446,0.4889035999999999,0.830847452467671,0.836568574024049,0.7199511624825081,69
69,Fe2Sb4_100_T_0.250,mp-1077083,False,Fe,Sb,Fe-Sb,Fe2Sb4,Orthorhombic,Pnnm,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",False,100,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",top,['Fe'],-0.20824487,0.9396768463230044,19.54103666666666,0.06175513,0.5882991333333332,0.7564402710836695,0.812205176446521,0.7199137634494281,70
70,Fe2Sb4_210_T_0.125,mp-20714,False,Fe,Sb,Fe-Sb,Fe2Sb4,Orthorhombic,Pnnm,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",True,210,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",top,['Fe'],-0.20212316,0.8335200912423852,19.54103666666666,0.06787684,0.5474877333333332,0.7957707944689718,0.812205176446521,0.7194250741665777,71
71,MnSb_210_B_0.083,mp-1009207,False,Mn,Sb,Mn-Sb,MnSb,Cubic,Pm3m,"{'Mn': 50.0, 'Sb': 50.0}",False,210,"{'Mn': 50.0, 'Sb': 50.0}",top,['Mn'],-0.21214845,1.1045596018656358,14.66259,0.05785155,0.6143229999999997,0.6953520712062556,0.8392893049663716,0.7175511371866307,72
72,Cu6Sn2_210_B_0.092,mp-13138,False,Cu,Sn,Cu-Sn,Cu6Sn2,Hexagonal,P63mmc,"{'Cu': 75.0, 'Sn': 25.0}",True,210,"{'Cu': 66.66666666666666, 'Sn': 33.33333333333333}",bridge,"['Cu', 'Cu']",-0.20765169,1.0106878362310758,15.4369325,0.06234831,0.5843445999999999,0.730131070156495,0.834436380594267,0.7174853405536941,73
73,Ni2Sb2_211_B_0.069,mp-810,False,Ni,Sb,Ni-Sb,Ni2Sb2,Hexagonal,P63mmc,"{'Ni': 50.0, 'Sb': 50.0}",True,211,"{'Ni': 33.33333333333333, 'Sb': 66.66666666666666}",bridge,"['Ni', 'Ni']",-0.20782505,0.918049271565046,22.50325,0.06217495,0.5855003333333333,0.7644531745879192,0.7988956169806442,0.7171091673874324,74
74,Cu6Sn2_110_T_0.001,mp-581786,False,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sn': 25.0}",True,110,"{'Cu': 80.0, 'Sn': 20.0}",bridge,"['Cu', 'Cu']",-0.20045541,0.8879810439484255,15.4369325,0.06954459,0.5363693999999999,0.7755932958975048,0.834436380594267,0.7166560590482274,75
75,Fe2Sb4_100_T_0.250,mp-20714,False,Fe,Sb,Fe-Sb,Fe2Sb4,Orthorhombic,Pnnm,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",True,100,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",top,['Fe'],-0.20475903,0.906202342421342,19.54103666666666,0.06524097,0.5650601999999999,0.768842399968599,0.812205176446521,0.7163376179814549,76
76,Co2Sn4_211_B_0.104,mp-20155,False,Co,Sn,Co-Sn,Co2Sn4,Tetragonal,I4mcm,"{'Co': 33.33333333333333, 'Sn': 66.66666666666666}",True,211,"{'Co': 22.22222222222222, 'Sn': 77.77777777777779}",bridge,"['Co', 'Co']",-0.21967854,1.0526186023019786,31.66131999999999,0.05032146,0.6645235999999999,0.7145959402981751,0.7666987573477353,0.7157870257966277,77
77,Co2Sb4_210_T_0.125,mp-9835,True,Co,Sb,Co-Sb,Co2Sb4,Orthorhombic,Pnnm,"{'Co': 33.33333333333333, 'Sb': 66.66666666666666}",True,210,"{'Co': 33.33333333333333, 'Sb': 66.66666666666666}",top,['Co'],-0.20560689,0.8303164749186156,30.74097333333332,0.06439311,0.5707125999999998,0.7969577175869953,0.7694804976404697,0.7129545740014681,78
78,Cu3Sb_110_B_0.125,mp-1183969,True,Cu,Sb,Cu-Sb,Cu3Sb,Cubic,Pm3m,"{'Cu': 75.0, 'Sb': 25.0}",False,110,"{'Cu': 75.0, 'Sb': 25.0}",bridge,"['Cu', 'Cu']",-0.18109585,0.598596729703373,15.0918025,0.08890415,0.4073056666666665,0.8828086731018202,0.836568574024049,0.7101710472917774,79
79,Co3Sn2_100_T_0.500,mp-1226032,False,Co,Sn,Co-Sn,Co3Sn2,Hexagonal,P6m2,"{'Co': 60.0, 'Sn': 40.0}",False,100,"{'Co': 60.0, 'Sn': 40.0}",top,['Co'],-0.28163444,1.7920129708617742,32.476736,0.0116344399999999,0.9224370666666668,0.4406541880138586,0.7643009127559626,0.7096824243816007,80
80,Cu6Sn2_221_T_0.182,mp-581786,False,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sn': 25.0}",True,221,"{'Cu': 77.77777777777779, 'Sn': 22.22222222222222}",bridge,"['Cu', 'Cu']",-0.19890817,0.9175379464783834,15.4369325,0.07109183,0.5260544666666664,0.7646426178622845,0.834436380594267,0.7096384072966047,81
81,Cu2Sn2_210_T_0.056,mp-10598,True,Cu,Sn,Cu-Sn,Cu2Sn2,Hexagonal,P63mmc,"{'Cu': 50.0, 'Sn': 50.0}",True,210,"{'Cu': 40.0, 'Sn': 60.0}",bridge,"['Cu', 'Cu']",-0.19085743,0.7278672277010587,20.505305,0.07914257,0.4723828666666665,0.8349146286703898,0.8076631128972036,0.7060136318462779,82
82,Ni2Sb2_221_B_0.031,mp-810,False,Ni,Sb,Ni-Sb,Ni2Sb2,Hexagonal,P63mmc,"{'Ni': 50.0, 'Sb': 50.0}",True,221,"{'Ni': 33.33333333333333, 'Sb': 66.66666666666666}",bridge,"['Ni', 'Ni']",-0.201408,0.8993142696330475,22.50325,0.068592,0.5427199999999999,0.7713943949657515,0.7988956169806442,0.7052822601121169,83
83,Fe2Sn4_111_B_0.030,mp-22752,False,Fe,Sn,Fe-Sn,Fe2Sn4,Tetragonal,I4mcm,"{'Fe': 33.33333333333333, 'Sn': 66.66666666666666}",True,111,"{'Fe': 40.0, 'Sn': 60.0}",top,['Fe'],-0.19716073,0.8564519572753387,20.461383333333327,0.07283927,0.5144048666666665,0.7872746578586096,0.8078653134394425,0.7042284496627516,84
84,Ti2Sb4_221_T_0.011,mp-568,True,Sb,Ti,Sb-Ti,Ti2Sb4,Tetragonal,I4mcm,"{'Sb': 66.66666666666666, 'Ti': 33.33333333333333}",True,221,"{'Sb': 71.42857142857143, 'Ti': 28.57142857142857}",bridge,"['Ti', 'Ti']",-0.33963829,0.9080657708260692,21.78492666666666,0.0696382899999999,0.5357447333333334,0.7681520094758479,0.8019547929262757,0.7029505547219637,85
85,Co2Sb4_110_T_0.050,mp-9835,True,Co,Sb,Co-Sb,Co2Sb4,Orthorhombic,Pnnm,"{'Co': 33.33333333333333, 'Sb': 66.66666666666666}",True,110,"{'Co': 33.33333333333333, 'Sb': 66.66666666666666}",top,['Co'],-0.31552281,1.2639229535401113,30.74097333333332,0.0455228099999999,0.6965146000000002,0.636308781638549,0.7694804976404697,0.7014550851384809,86
86,Mn2Sn4_111_T_0.029,mp-20086,False,Mn,Sn,Mn-Sn,Mn2Sn4,Tetragonal,I4mcm,"{'Mn': 33.33333333333333, 'Sn': 66.66666666666666}",True,111,"{'Mn': 22.22222222222222, 'Sn': 77.77777777777779}",top,['Mn'],-0.20002387,0.9817795413194864,20.44925,0.06997613,0.5334924666666665,0.7408414424562701,0.8079212477300616,0.6952234142387901,87
87,Cu6Sb2_221_B_0.029,mp-20900,True,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sb': 25.0}",True,221,"{'Cu': 69.23076923076923, 'Sb': 30.76923076923077}",3-fold,"['Cu', 'Cu', 'Cu']",-0.18155188,0.7359700782689796,15.0918025,0.08844812,0.4103458666666665,0.8319125648497012,0.836568574024049,0.6943785975685781,88
88,Co2Sb4_211_B_0.149,mp-9835,True,Co,Sb,Co-Sb,Co2Sb4,Orthorhombic,Pnnm,"{'Co': 33.33333333333333, 'Sb': 66.66666666666666}",True,211,"{'Co': 33.33333333333333, 'Sb': 66.66666666666666}",top,['Co'],-0.20445,0.9763852540625692,30.74097333333332,0.06555,0.5629999999999998,0.7428399977148978,0.7694804976404697,0.6925505684436759,89
89,Cu6Sn2_210_T_0.000,mp-581786,False,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sn': 25.0}",True,210,"{'Cu': 80.0, 'Sn': 20.0}",3-fold,"['Cu', 'Cu', 'Cu']",-0.18912976,0.8860990970916668,15.4369325,0.08087024,0.4608650666666666,0.7762905473800265,0.834436380594267,0.6919697220374595,90
90,Cu6Sn2_211_T_0.064,mp-13138,False,Cu,Sn,Cu-Sn,Cu6Sn2,Hexagonal,P63mmc,"{'Cu': 75.0, 'Sn': 25.0}",True,211,"{'Cu': 71.42857142857143, 'Sn': 28.57142857142857}",bridge,"['Cu', 'Cu']",-0.18827694,0.8822354922708245,15.4369325,0.08172306,0.4551795999999999,0.777721992789622,0.834436380594267,0.690565895022626,91
91,MnSb_221_B_0.050,mp-1009207,False,Mn,Sb,Mn-Sb,MnSb,Cubic,Pm3m,"{'Mn': 50.0, 'Sb': 50.0}",False,221,"{'Mn': 40.0, 'Sb': 60.0}",top,['Mn'],-0.19250603,0.9730334880710204,14.66259,0.07749397,0.4833735333333331,0.7440818095111661,0.8392893049663716,0.6904186268272512,92
92,Fe2Sn4_111_T_0.030,mp-22752,False,Fe,Sn,Fe-Sn,Fe2Sn4,Tetragonal,I4mcm,"{'Fe': 33.33333333333333, 'Sn': 66.66666666666666}",True,111,"{'Fe': 22.22222222222222, 'Sn': 77.77777777777779}",top,['Fe'],-0.34644242,0.9164452975652364,20.461383333333327,0.0764424199999999,0.4903838666666669,0.7650474385785716,0.8078653134394425,0.6889665373003392,93
93,Fe2Sb4_211_T_0.150,mp-20714,False,Fe,Sb,Fe-Sb,Fe2Sb4,Orthorhombic,Pnnm,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",True,211,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",top,['Fe'],-0.34561709,0.9486999955301588,19.54103666666666,0.07561709,0.4958860666666667,0.7530972414231308,0.812205176446521,0.6883142516614504,94
94,Co2Sb4_211_T_0.039,mp-9835,True,Co,Sb,Co-Sb,Co2Sb4,Orthorhombic,Pnnm,"{'Co': 33.33333333333333, 'Sb': 66.66666666666666}",True,211,"{'Co': 33.33333333333333, 'Sb': 66.66666666666666}",top,['Co'],-0.33803772,0.9969651694749756,30.74097333333332,0.0680377199999999,0.5464152000000002,0.735215246527086,0.7694804976404697,0.6845614165516982,95
95,Fe2Sn4_111_T_0.071,mp-22752,False,Fe,Sn,Fe-Sn,Fe2Sn4,Tetragonal,I4mcm,"{'Fe': 33.33333333333333, 'Sn': 66.66666666666666}",True,111,"{'Fe': 22.22222222222222, 'Sn': 77.77777777777779}",top,['Fe'],-0.19619126,1.0121810051045506,20.461383333333327,0.07380874,0.5079417333333333,0.7295778588865028,0.8078653134394425,0.6830556720019564,96
96,Co2Sb4_210_B_0.050,mp-9835,True,Co,Sb,Co-Sb,Co2Sb4,Orthorhombic,Pnnm,"{'Co': 33.33333333333333, 'Sb': 66.66666666666666}",True,210,"{'Co': 33.33333333333333, 'Sb': 66.66666666666666}",top,['Co'],-0.19998723,0.9876986091869768,30.74097333333332,0.07001277,0.5332481999999998,0.7386484587219357,0.7694804976404697,0.6813492665759984,97
97,Cu6Sn2_221_T_0.125,mp-581786,False,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sn': 25.0}",True,221,"{'Cu': 75.0, 'Sn': 25.0}",bridge,"['Cu', 'Cu']",-0.18781383,0.9683614225445016,15.4369325,0.08218617,0.4520921999999997,0.7458127853902692,0.834436380594267,0.6790170145808395,98
98,Nb2Sn6_111_T_0.003,mp-1186237,False,Nb,Sn,Nb-Sn,Nb2Sn6,Hexagonal,P63mmc,"{'Nb': 25.0, 'Sn': 75.0}",False,111,"{'Nb': 25.0, 'Sn': 75.0}",top,['Nb'],-0.37137331,0.3599505788723528,43.0840375,0.10137331,0.3241779333333333,0.971225825726198,0.7376495001821467,0.6782840705515752,99
99,Cu2Sn2_211_B_0.153,mp-10598,True,Cu,Sn,Cu-Sn,Cu2Sn2,Hexagonal,P63mmc,"{'Cu': 50.0, 'Sn': 50.0}",True,211,"{'Cu': 44.44444444444444, 'Sn': 55.55555555555556}",bridge,"['Cu', 'Cu']",-0.35658364,0.8383116687735297,20.505305,0.0865836399999999,0.4227757333333335,0.7939955400162708,0.8076631128972036,0.6761399785904186,100
100,FeNi3_111_B_0.042,mp-1007854,False,Fe,Ni,Fe-Ni,FeNi3,Cubic,Fm3m,"{'Fe': 25.0, 'Ni': 75.0}",False,111,{'Ni': 100.0},bridge,"['Ni', 'Ni']",-0.28407781,2.287886609171274,11.83374,0.0140778099999999,0.9061479333333337,0.2569355945727208,0.8595016500153443,0.6760481252142151,101
101,Cu3Sb_211_T_0.062,mp-2002,True,Cu,Sb,Cu-Sb,Cu3Sb,Cubic,Fm3m,"{'Cu': 75.0, 'Sb': 25.0}",True,211,"{'Cu': 75.0, 'Sb': 25.0}",3-fold,"['Cu', 'Cu', 'Cu']",-0.15197787,0.3570892531086651,15.0918025,0.11802213,0.2131857999999997,0.972285931979222,0.836568574024049,0.67563898672132,102
102,FeNi3_111_T_0.125,mp-1007854,False,Fe,Ni,Fe-Ni,FeNi3,Cubic,Fm3m,"{'Fe': 25.0, 'Ni': 75.0}",False,111,"{'Fe': 33.33333333333333, 'Ni': 66.66666666666666}",bridge,"['Fe', 'Ni']",-0.29806201,2.041815171273916,11.83374,0.0280620099999999,0.8129199333333335,0.3481037772788246,0.8595016500153443,0.6753683855072292,103
103,Mn2Sn4_111_B_0.029,mp-20086,False,Mn,Sn,Mn-Sn,Mn2Sn4,Tetragonal,I4mcm,"{'Mn': 33.33333333333333, 'Sn': 66.66666666666666}",True,111,"{'Mn': 40.0, 'Sn': 60.0}",bridge,"['Mn', 'Mn']",-0.18710522,0.9243512356025304,20.44925,0.08289478,0.4473681333333331,0.7621183298221632,0.8079212477300616,0.6738237570695348,104
104,NbNi3_111_B_0.042,mp-999378,False,Nb,Ni,Nb-Ni,NbNi3,Cubic,Fm3m,"{'Nb': 25.0, 'Ni': 75.0}",False,111,{'Ni': 100.0},3-fold,"['Ni', 'Ni', 'Ni']",-0.28103197,2.1301488868628176,31.9112275,0.01103197,0.9264535333333334,0.3153765969496832,0.7659573683994373,0.6702294482492042,105
105,Ti2Sb4_211_T_0.125,mp-568,True,Sb,Ti,Sb-Ti,Ti2Sb4,Tetragonal,I4mcm,"{'Sb': 66.66666666666666, 'Ti': 33.33333333333333}",True,211,"{'Sb': 66.66666666666666, 'Ti': 33.33333333333333}",bridge,"['Ti', 'Ti']",-0.35701123,0.8732953188982153,21.78492666666666,0.08701123,0.4199251333333333,0.7810342803367782,0.8019547929262757,0.6689812361060706,106
106,Sn6Pt4_210_B_0.056,mp-30846,True,Pt,Sn,Pt-Sn,Sn6Pt4,Hexagonal,P63mmc,"{'Pt': 40.0, 'Sn': 60.0}",True,210,"{'Pt': 36.36363636363637, 'Sn': 63.63636363636363}",bridge,"['Pt', 'Pt']",-0.27412836,0.7156628550028721,12301.25723,0.0041283599999999,0.9724776,0.8394362850213628,0.2044578149035442,0.6674472391242549,107
107,MnSb_211_T_0.125,mp-1009207,False,Mn,Sb,Mn-Sb,MnSb,Cubic,Pm3m,"{'Mn': 50.0, 'Sb': 50.0}",False,211,"{'Mn': 50.0, 'Sb': 50.0}",top,['Mn'],-0.17487366,0.9095204923795824,14.66259,0.09512634,0.3658243999999997,0.7676130427371217,0.8392893049663716,0.6593927197918165,108
108,SbPt3_111_B_0.062,mp-973354,False,Pt,Sb,Pt-Sb,SbPt3,Tetragonal,I4mmm,"{'Pt': 75.0, 'Sb': 25.0}",False,111,"{'Pt': 75.0, 'Sb': 25.0}",3-fold,"['Pt', 'Pt', 'Pt']",-0.2716012,0.6810596564411319,23037.700382500003,0.0016011999999999,0.9893253333333336,0.8522565893835791,0.1452921347985349,0.657121360328083,109
109,Sn4Ru2_111_T_0.029,mp-510219,True,Ru,Sn,Ru-Sn,Sn4Ru2,Tetragonal,I4mcm,"{'Ru': 33.33333333333333, 'Sn': 66.66666666666666}",True,111,"{'Ru': 22.22222222222222, 'Sn': 77.77777777777779}",top,['Ru'],-0.27271038,0.9875952444332408,6772.084699999998,0.0027103799999999,0.9819308000000004,0.7386867548234033,0.2607438065115541,0.6564566873056517,110
110,Co2Sn4_111_B_0.028,mp-20155,False,Co,Sn,Co-Sn,Co2Sn4,Tetragonal,I4mcm,"{'Co': 33.33333333333333, 'Sn': 66.66666666666666}",True,111,"{'Co': 25.0, 'Sn': 75.0}",bridge,"['Co', 'Co']",-0.17701998,0.8027734497268889,31.66131999999999,0.09298002,0.3801331999999998,0.8071622645852764,0.7666987573477353,0.6524850808113711,111
111,Cu3Sb_221_B_0.050,mp-1183969,True,Cu,Sb,Cu-Sb,Cu3Sb,Cubic,Pm3m,"{'Cu': 75.0, 'Sb': 25.0}",False,221,"{'Cu': 75.0, 'Sb': 25.0}",bridge,"['Cu', 'Cu']",-0.15024316,0.5318582600943615,15.0918025,0.11975684,0.2016210666666664,0.9075349275701592,0.836568574024049,0.6504547932663292,112
112,Ni6Sb2_110_T_0.128,mp-976893,False,Ni,Sb,Ni-Sb,Ni6Sb2,Hexagonal,P63mmc,"{'Ni': 75.0, 'Sb': 25.0}",False,110,"{'Ni': 75.0, 'Sb': 25.0}",4-fold,"['Ni', 'Ni', 'Ni', 'Ni']",-0.34125687,1.3559026261090326,19.12411,0.0712568699999999,0.5249542000000001,0.6022307932882357,0.8142388958887126,0.6488122723872802,113
113,Nb3Cu_111_T_0.042,mp-1186214,False,Cu,Nb,Cu-Nb,Nb3Cu,Cubic,Fm3m,"{'Cu': 25.0, 'Nb': 75.0}",False,111,"{'Cu': 33.33333333333333, 'Nb': 66.66666666666666}",top,['Cu'],-0.28948856,1.9868429664227216,62.89964,0.0194885599999999,0.8700762666666667,0.3684706921002089,0.7019681395053402,0.6473896638248847,114
114,Sb4Ru2_100_T_0.250,mp-20928,True,Ru,Sb,Ru-Sb,Sb4Ru2,Orthorhombic,Pnnm,"{'Ru': 33.33333333333333, 'Sb': 66.66666666666666}",True,100,"{'Ru': 33.33333333333333, 'Sb': 66.66666666666666}",top,['Ru'],-0.26393799,1.024322652001725,6771.164353333331,0.00606201,0.9595866,0.725079442117238,0.2607566228148127,0.6445970456557248,115
115,Mn2Cu6_100_T_0.249,mp-974747,False,Cu,Mn,Cu-Mn,Mn2Cu6,Hexagonal,P63mmc,"{'Cu': 75.0, 'Mn': 25.0}",False,100,"{'Cu': 85.71428571428571, 'Mn': 14.285714285714285}",bridge,"['Cu', 'Cu']",-0.32560295,1.9199181288229463,7.7923325,0.0556029499999999,0.6293136666666668,0.3932659949358744,0.8989008810187524,0.6430775878752144,116
116,Cu6Sb2_110_T_0.091,mp-20900,True,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sb': 25.0}",True,110,"{'Cu': 83.33333333333334, 'Sb': 16.666666666666664}",bridge,"['Cu', 'Cu']",-0.1532802,0.648619652965816,15.0918025,0.1167198,0.2218679999999998,0.8642754412629177,0.836568574024049,0.6428606507849395,117
117,Cu3Pt_111_T_0.167,mp-12086,True,Cu,Pt,Cu-Pt,Cu3Pt,Cubic,Pm3m,"{'Cu': 75.0, 'Pt': 25.0}",True,111,"{'Cu': 75.0, 'Pt': 25.0}",3-fold,"['Pt', 'Cu', 'Cu']",-0.26992337,1.11463643985212,7684.57142,7.663000000002196e-05,0.9994891333333332,0.6916186553555513,0.2488239607353813,0.6426657169173616,118
118,Fe2Sn4_221_B_0.015,mp-22752,False,Fe,Sn,Fe-Sn,Fe2Sn4,Tetragonal,I4mcm,"{'Fe': 33.33333333333333, 'Sn': 66.66666666666666}",True,221,"{'Fe': 40.0, 'Sn': 60.0}",bridge,"['Fe', 'Fe']",-0.37154025,0.8605838710416468,20.461383333333327,0.10154025,0.3230649999999999,0.7857438053858827,0.8078653134394425,0.6405811123467517,119
119,Sn4Ru2_221_T_0.015,mp-510219,True,Ru,Sn,Ru-Sn,Sn4Ru2,Tetragonal,I4mcm,"{'Ru': 33.33333333333333, 'Sn': 66.66666666666666}",True,221,"{'Ru': 28.57142857142857, 'Sn': 71.42857142857143}",top,['Ru'],-0.25717356,0.9432197853471612,6772.084699999998,0.0128264399999999,0.9144904,0.7551276306771644,0.2607438065115541,0.6396268443373927,120
120,Sb2Pt2_210_T_0.056,mp-2845,False,Pt,Sb,Pt-Sb,Sb2Pt2,Hexagonal,P63mmc,"{'Pt': 50.0, 'Sb': 50.0}",True,210,"{'Pt': 40.0, 'Sb': 60.0}",bridge,"['Pt', 'Pt']",-0.28421273,0.7054267969024379,15368.220765,0.01421273,0.9052484666666666,0.843228691092806,0.1834669669115996,0.6393762308105698,121
121,Cu6Sn2_111_T_0.167,mp-581786,False,Cu,Sn,Cu-Sn,Cu6Sn2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sn': 25.0}",True,111,"{'Cu': 80.0, 'Sn': 20.0}",bridge,"['Cu', 'Cu']",-0.1654559,0.9228705716964664,15.4369325,0.1045441,0.3030393333333331,0.7626669080670333,0.834436380594267,0.6353914290641718,122
122,Sb4Ru2_210_B_0.046,mp-20928,True,Ru,Sb,Ru-Sb,Sb4Ru2,Orthorhombic,Pnnm,"{'Ru': 33.33333333333333, 'Sb': 66.66666666666666}",True,210,"{'Ru': 33.33333333333333, 'Sb': 66.66666666666666}",top,['Ru'],-0.26346584,1.1325907797430754,6771.164353333331,0.00653416,0.9564389333333332,0.6849666661871502,0.2607566228148127,0.6303210995987959,123
123,Ni6Sn2_100_B_0.246,mp-20112,True,Ni,Sn,Ni-Sn,Ni6Sn2,Hexagonal,P63mmc,"{'Ni': 75.0, 'Sn': 25.0}",True,100,"{'Ni': 50.0, 'Sn': 50.0}",top,['Ni'],-0.22328486,1.9449572918011293,19.46924,0.04671514,0.6885657333333333,0.383989115812036,0.8125522807012647,0.6302108756564019,124
124,Sn4Ru2_221_T_0.040,mp-510219,True,Ru,Sn,Ru-Sn,Sn4Ru2,Tetragonal,I4mcm,"{'Ru': 33.33333333333333, 'Sn': 66.66666666666666}",True,221,"{'Ru': 26.666666666666668, 'Sn': 73.33333333333333}",top,['Ru'],-0.27850883,1.1221709484819655,6772.084699999998,0.0085088299999999,0.9432744666666668,0.688827159254923,0.2607438065115541,0.6272464307680531,125
125,Sn4Ru2_211_T_0.073,mp-510219,True,Ru,Sn,Ru-Sn,Sn4Ru2,Tetragonal,I4mcm,"{'Ru': 33.33333333333333, 'Sn': 66.66666666666666}",True,211,"{'Ru': 33.33333333333333, 'Sn': 66.66666666666666}",top,['Ru'],-0.24587532,0.8881660423954755,6772.084699999998,0.02412468,0.8391687999999999,0.7755247549389722,0.2607438065115541,0.6215017673437893,126
126,Sn14Ir6_111_T_0.025,mp-22040,True,Ir,Sn,Ir-Sn,Sn14Ir6,Cubic,Im3m,"{'Ir': 30.0, 'Sn': 70.0}",True,111,"{'Ir': 30.0, 'Sn': 70.0}",top,['Ir'],-0.26290944,0.7320200322155602,41013.650435,0.00709056,0.9527295999999998,0.8333760362845529,0.0909033860718245,0.6203220112383228,127
127,Mn2Sn4_111_T_0.070,mp-20086,False,Mn,Sn,Mn-Sn,Mn2Sn4,Tetragonal,I4mcm,"{'Mn': 33.33333333333333, 'Sn': 66.66666666666666}",True,111,"{'Mn': 22.22222222222222, 'Sn': 77.77777777777779}",top,['Mn'],-0.17013869,1.0782427095371876,20.44925,0.09986131,0.3342579333333332,0.7051023423818059,0.8079212477300616,0.6176821152142169,128
